stem_path,match_key,score,tags
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A Day In The Life_(Vocals).flac,a day in the life ( ),0.808,emotional-depth; harmonic-surprise; textural-beauty; rock-classic; timeless-classic; wildcard; emotional-rollercoaster; slow-burn; breakdown-rich; warm-analog; experimental; cultural-moment; boomer-classic
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A Day In The Life_(Instrumental).flac,a day in the life ( ),0.808,emotional-depth; harmonic-surprise; textural-beauty; rock-classic; timeless-classic; wildcard; emotional-rollercoaster; slow-burn; breakdown-rich; warm-analog; experimental; cultural-moment; boomer-classic
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A DJ Deep Inside_(Vocals).flac,a dj deep inside (shadow child ),0.717,electronic-dance; rhythmic-hypnosis; sophisticated-groove; vocal-magic; nostalgic-hit; retro-modern; breakdown-rich; loop-gold; instant-dancefloor; energy-sustainer; warm-analog; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A DJ Deep Inside_(Instrumental).flac,a dj deep inside (shadow child ),0.717,electronic-dance; rhythmic-hypnosis; sophisticated-groove; vocal-magic; nostalgic-hit; retro-modern; breakdown-rich; loop-gold; instant-dancefloor; energy-sustainer; warm-analog; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A Hard Day's Night_(Vocals).flac,a hard day s night ( ),0.910,rock-classic; timeless-classic; nostalgic-hit; instant-impact; vocal-magic; harmony-rich; sing-along-potential; energy-injector; warm-analog; anchor-track; melodic-overlay; mashup-ready
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A Hard Day's Night_(Instrumental).flac,a hard day s night ( ),0.910,rock-classic; timeless-classic; nostalgic-hit; instant-impact; vocal-magic; harmony-rich; sing-along-potential; energy-injector; warm-analog; anchor-track; melodic-overlay; mashup-ready
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A Message to You Rudy_(Vocals).flac,a message to you rudy ( ),0.815,nostalgic-hit; timeless-classic; cultural-moment; generational-bridge; rhythmic-foundation; vocal-prominent; instant-impact; crowd-pleaser; body-mover; warm-analog; tempo-flexible; genre-crossover
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A Message to You Rudy_(Instrumental).flac,a message to you rudy ( ),0.815,nostalgic-hit; timeless-classic; cultural-moment; generational-bridge; rhythmic-foundation; vocal-prominent; instant-impact; crowd-pleaser; body-mover; warm-analog; tempo-flexible; genre-crossover
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Abusey Junction_(Vocals).flac,abusey junction,1.000,world-fusion; jazz-influenced; emotional-depth; textural-beauty; sophisticated-groove; instrumental; slow-burn; meditation-inducer; sunrise; layer-friendly; warm-analog; bridge-element
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A Mi Manera (Comme D'Habitude)_(Vocals).flac,a mi manera (comme d'habitude),1.000,nostalgic-hit; vocal-magic; bridge-element; vocal-prominent; cultural-bridge; lifts-mood; instant-impact; warm-analog; world-fusion; driving; crowd-pleaser; sing-along-potential; intricate
/Volumes/T7 Shield/3000AD/alldj_stem_separated/A Mi Manera (Comme D'Habitude)_(Instrumental).flac,a mi manera (comme d'habitude),1.000,nostalgic-hit; vocal-magic; bridge-element; vocal-prominent; cultural-bridge; lifts-mood; instant-impact; warm-analog; world-fusion; driving; crowd-pleaser; sing-along-potential; intricate
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Abusey Junction_(Instrumental).flac,abusey junction,1.000,world-fusion; jazz-influenced; emotional-depth; textural-beauty; sophisticated-groove; instrumental; slow-burn; meditation-inducer; sunrise; layer-friendly; warm-analog; bridge-element
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Acceptable in the 80's_(Vocals).flac,acceptable in the 80's,1.000,electronic-dance; nostalgic-hit; instant-dancefloor; retro-modern; beatmatched-friendly; vocal-minimal; warm-analog; instant-impact; rhythmic-foundation; crowd-pleaser; long-intro; vintage-revival; body-mover; punchy-dynamics; mashup-ready
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Acid Rain_(Vocals).flac,acid rain,1.000,electronic-dance; rhythmic-hypnosis; instrumental; hypnotic; punchy-dynamics; loop-gold; long-intro; hypnotic-builder; energy-injector; peak-time; body-mover; breakdown-rich
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Acid Rain_(Instrumental).flac,acid rain,1.000,electronic-dance; rhythmic-hypnosis; instrumental; hypnotic; punchy-dynamics; loop-gold; long-intro; hypnotic-builder; energy-injector; peak-time; body-mover; breakdown-rich
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Across The Universe_(Vocals).flac,across the universe ( ),0.812,nostalgic-hit; emotional-depth; textural-beauty; vocal-magic; timeless-classic; meditation-inducer; slow-burn; sunrise; texture-add; warm-analog; non-danceable-standalone; boomer-classic; melodic-overlay
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Across The Universe_(Instrumental).flac,across the universe ( ),0.812,nostalgic-hit; emotional-depth; textural-beauty; vocal-magic; timeless-classic; meditation-inducer; slow-burn; sunrise; texture-add; warm-analog; non-danceable-standalone; boomer-classic; melodic-overlay
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Adagio in G Minor_(Vocals).flac,adagio in g minor,1.000,emotional-depth; instrumental; slow-burn; timeless-classic; palate-cleanser; atmospheric-wash; contemporary-classic; deep; layer-friendly; energy-sustainer
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Adagio in G Minor_(Instrumental).flac,adagio in g minor,1.000,emotional-depth; instrumental; slow-burn; timeless-classic; palate-cleanser; atmospheric-wash; contemporary-classic; deep; layer-friendly; energy-sustainer
/Volumes/T7 Shield/3000AD/alldj_stem_separated/After Laughter (Comes Tears)_(Vocals).flac,after laughter (comes tears),1.000,nostalgic-hit; emotional-depth; vocal-magic; timeless-classic; warm-analog; comedown; cool-down; vocal-prominent; adds-depth; layer-friendly; boomer-classic
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Aftermath_(Vocals).flac,aftermath,1.000,jazz-influenced; electronic-dance; retro-modern; sophisticated-groove; vocal-prominent; body-mover; instant-impact; beatmatched-friendly; crowd-pleaser; bridge-element; punchy-dynamics; mashup-ready
/Volumes/T7 Shield/3000AD/alldj_stem_separated/After Laughter (Comes Tears)_(Instrumental).flac,after laughter (comes tears),1.000,nostalgic-hit; emotional-depth; vocal-magic; timeless-classic; warm-analog; comedown; cool-down; vocal-prominent; adds-depth; layer-friendly; boomer-classic
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Aftermath_(Instrumental).flac,aftermath,1.000,jazz-influenced; electronic-dance; retro-modern; sophisticated-groove; vocal-prominent; body-mover; instant-impact; beatmatched-friendly; crowd-pleaser; bridge-element; punchy-dynamics; mashup-ready
/Volumes/T7 Shield/3000AD/alldj_stem_separated/AGEN WIDA_(Vocals).flac,agen wida,1.000,electronic-dance; genre-crossover; instant-impact; mainstream-crossover; drop-heavy; punchy-dynamics; attention-grabber; peak-moment; hands-up-moment; crowd-pleaser; rhythmic-foundation; key-adaptable
/Volumes/T7 Shield/3000AD/alldj_stem_separated/AGEN WIDA_(Instrumental).flac,agen wida,1.000,electronic-dance; genre-crossover; instant-impact; mainstream-crossover; drop-heavy; punchy-dynamics; attention-grabber; peak-moment; hands-up-moment; crowd-pleaser; rhythmic-foundation; key-adaptable
/Volumes/T7 Shield/3000AD/alldj_stem_separated/AI DAW DAW_(Vocals).flac,ai daw daw,1.000,rock-indie; electronic-experimental; instant-impact; contemporary-classic; full-energy-start; harmonic-surprise; indie-cred; energy-injector; crisp-digital; body-mover; vocal-prominent; euphoric-melody; tempo-flexible
/Volumes/T7 Shield/3000AD/alldj_stem_separated/AI DAW DAW_(Instrumental).flac,ai daw daw,1.000,rock-indie; electronic-experimental; instant-impact; contemporary-classic; full-energy-start; harmonic-surprise; indie-cred; energy-injector; crisp-digital; body-mover; vocal-prominent; euphoric-melody; tempo-flexible
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Ai Girlfriend_(Vocals).flac,ai girlfriend,1.000,electronic-experimental; genre-crossover; harmonic-surprise; textural-beauty; melodic-overlay; wildcard; hypnotic-builder; indie-cred; instant-impact; vocal-chopped; key-adaptable; breakdown-rich
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Ai Girlfriend_(Instrumental).flac,ai girlfriend,1.000,electronic-experimental; genre-crossover; harmonic-surprise; textural-beauty; melodic-overlay; wildcard; hypnotic-builder; indie-cred; instant-impact; vocal-chopped; key-adaptable; breakdown-rich
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Ain't No Mountain High Enough_(Vocals).flac,ain t no mountain high enough ( ),0.974,nostalgic-hit; vocal-magic; sophisticated-groove; instant-impact; crowd-pleaser; sing-along-potential; timeless-classic; boomer-classic; lifts-mood; warm-analog; set-opener; rhythmic-foundation; mashup-ready
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Ala Vida_(Vocals).flac,ala vida,1.000,sophisticated-groove; nostalgic-hit; instrumental; retro-modern; rhythmic-foundation; layer-friendly; warm-analog; sustainer; world-fusion; lifts-mood; textural-beauty; loop-gold
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Ain't No Mountain High Enough_(Instrumental).flac,ain t no mountain high enough ( ),0.974,nostalgic-hit; vocal-magic; sophisticated-groove; instant-impact; crowd-pleaser; sing-along-potential; timeless-classic; boomer-classic; lifts-mood; warm-analog; set-opener; rhythmic-foundation; mashup-ready
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Ala Vida_(Instrumental).flac,ala vida,1.000,sophisticated-groove; nostalgic-hit; instrumental; retro-modern; rhythmic-foundation; layer-friendly; warm-analog; sustainer; world-fusion; lifts-mood; textural-beauty; loop-gold
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Aladdin_(Vocals).flac,aladdin,1.000,rock-indie; retro-modern; vocal-prominent; nostalgic-hit; instant-impact; warm-analog; beatmatched-friendly; body-mover; energy-sustainer; warm-up; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Aladdin_(Instrumental).flac,aladdin,1.000,rock-indie; retro-modern; vocal-prominent; nostalgic-hit; instant-impact; warm-analog; beatmatched-friendly; body-mover; energy-sustainer; warm-up; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Alberto Balsalm_(Vocals).flac,alberto balsalm,1.000,jazz-influenced; genre-crossover; textural-beauty; emotional-depth; harmonic-surprise; instrumental; bridge-element; warm-analog; slow-burn; subtle-nuance; atmospheric-wash; breakdown-rich
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Alberto Balsalm_(Instrumental).flac,alberto balsalm,1.000,jazz-influenced; genre-crossover; textural-beauty; emotional-depth; harmonic-surprise; instrumental; bridge-element; warm-analog; slow-burn; subtle-nuance; atmospheric-wash; breakdown-rich
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Aline_(Vocals).flac,aline,1.000,nostalgic-hit; emotional-depth; vocal-prominent; timeless-classic; boomer-classic; warm-analog; slow-burn; non-danceable-standalone; palate-cleanser; bridge-element; tempo-flexible; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Aline_(Instrumental).flac,aline,1.000,nostalgic-hit; emotional-depth; vocal-prominent; timeless-classic; boomer-classic; warm-analog; slow-burn; non-danceable-standalone; palate-cleanser; bridge-element; tempo-flexible; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Alive Without Medicine_(Vocals).flac,alive without medicine,1.000,pop-experimental; sophisticated-groove; warm-analog; wildcard; bridge-element; vocal-prominent; genre-fluid; energy-shifter; textural-beauty; dream-logic; subtle-nuance; atmospheric-wash; melodic-overlay; slow-burn
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Alive Without Medicine_(Instrumental).flac,alive without medicine,1.000,pop-experimental; sophisticated-groove; warm-analog; wildcard; bridge-element; vocal-prominent; genre-fluid; energy-shifter; textural-beauty; dream-logic; subtle-nuance; atmospheric-wash; melodic-overlay; slow-burn
/Volumes/T7 Shield/3000AD/alldj_stem_separated/ALIVE_(Vocals).flac,alive,1.000,rock-indie; rhythmic-hypnosis; instant-impact; gritty-texture; rhythmic-foundation; loop-gold; lifts-mood; head-nodder; warm-up; attention-grabber; full-energy-start; retro-modern
/Volumes/T7 Shield/3000AD/alldj_stem_separated/ALIVE_(Instrumental).flac,alive,1.000,rock-indie; rhythmic-hypnosis; instant-impact; gritty-texture; rhythmic-foundation; loop-gold; lifts-mood; head-nodder; warm-up; attention-grabber; full-energy-start; retro-modern
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Good_(Vocals).flac,all good,1.000,hip-hop-conscious; nostalgic-hit; rhythmic-hypnosis; sophisticated-groove; head-nodder; warm-analog; lo-fi; rhythmic-foundation; loop-gold; beatmatched-friendly; generational-bridge; crowd-pleaser
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Good_(Instrumental).flac,all good,1.000,hip-hop-conscious; nostalgic-hit; rhythmic-hypnosis; sophisticated-groove; head-nodder; warm-analog; lo-fi; rhythmic-foundation; loop-gold; beatmatched-friendly; generational-bridge; crowd-pleaser
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All I Want_(Vocals).flac,all i want (sunship ),0.768,nostalgic-hit; vocal-magic; rhythmic-hypnosis; instant-impact; crowd-pleaser; genre-crossover; mainstream-crossover; breakdown-rich; punchy-dynamics; short-intro; remix
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All I Want_(Instrumental).flac,all i want (sunship ),0.768,nostalgic-hit; vocal-magic; rhythmic-hypnosis; instant-impact; crowd-pleaser; genre-crossover; mainstream-crossover; breakdown-rich; punchy-dynamics; short-intro; remix
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All I've Got To Do_(Vocals).flac,all i ve got to do ( ),0.939,rock-classic; nostalgic-hit; vocal-magic; boomer-classic; timeless-classic; warm-analog; melodic-overlay; lifts-mood; instant-impact; sing-along-potential; head-nodder; short-intro; crowd-pleaser
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All I've Got To Do_(Instrumental).flac,all i ve got to do ( ),0.939,rock-classic; nostalgic-hit; vocal-magic; boomer-classic; timeless-classic; warm-analog; melodic-overlay; lifts-mood; instant-impact; sing-along-potential; head-nodder; short-intro; crowd-pleaser
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Mine_(Vocals).flac,all mine,1.000,hip-hop-conscious; vocal-prominent; rhythmic-foundation; instant-impact; short-intro; contemporary-classic; energy-injector; minimal-space; layer-friendly; energetic; millennial-comfort
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Mine_(Instrumental).flac,all mine,1.000,hip-hop-conscious; vocal-prominent; rhythmic-foundation; instant-impact; short-intro; contemporary-classic; energy-injector; minimal-space; layer-friendly; energetic; millennial-comfort
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All My Loving_(Vocals).flac,all my loving ( ),0.797,rock-classic; timeless-classic; nostalgic-hit; vocal-magic; harmony-rich; instant-impact; sing-along-potential; short-intro; crowd-pleaser; generational-bridge; body-mover; melodic-overlay; warm-analog; key-adaptable
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All My Loving_(Instrumental).flac,all my loving ( ),0.797,rock-classic; timeless-classic; nostalgic-hit; vocal-magic; harmony-rich; instant-impact; sing-along-potential; short-intro; crowd-pleaser; generational-bridge; body-mover; melodic-overlay; warm-analog; key-adaptable
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Night (1)_(Vocals).flac,all night,1.000,textural-beauty; sophisticated-groove; vocal-prominent; retro-modern; sustainer; warm-up; layer-friendly; warm-analog; indie-cred; lo-fi; flowing; head-nodder
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Night (1)_(Instrumental).flac,all night,1.000,textural-beauty; sophisticated-groove; vocal-prominent; retro-modern; sustainer; warm-up; layer-friendly; warm-analog; indie-cred; lo-fi; flowing; head-nodder
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Night_(Vocals).flac,all night,1.000,textural-beauty; sophisticated-groove; vocal-prominent; retro-modern; sustainer; warm-up; layer-friendly; warm-analog; indie-cred; lo-fi; flowing; head-nodder
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Night_(Instrumental).flac,all night,1.000,textural-beauty; sophisticated-groove; vocal-prominent; retro-modern; sustainer; warm-up; layer-friendly; warm-analog; indie-cred; lo-fi; flowing; head-nodder
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Of Our Yesterdays_(Vocals).flac,all of our yesterdays,1.000,rock-indie; nostalgic-hit; emotional-depth; warm-analog; millennial-comfort; melodic-overlay; needs-layering; smooth-transitions; background-perfect; warm-up; subtle-nuance; indie-cred; key-adaptable
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Of Our Yesterdays_(Instrumental).flac,all of our yesterdays,1.000,rock-indie; nostalgic-hit; emotional-depth; warm-analog; millennial-comfort; melodic-overlay; needs-layering; smooth-transitions; background-perfect; warm-up; subtle-nuance; indie-cred; key-adaptable
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All There Is_(Vocals).flac,all there is,1.000,electronic-experimental; textural-beauty; nostalgic-hit; vocal-prominent; hypnotic-builder; bridge-element; layer-friendly; retro-modern; warm-analog; adds-depth; head-nodder
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All There Is_(Instrumental).flac,all there is,1.000,electronic-experimental; textural-beauty; nostalgic-hit; vocal-prominent; hypnotic-builder; bridge-element; layer-friendly; retro-modern; warm-analog; adds-depth; head-nodder
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Those Years Ago_(Vocals).flac,all those years ago,1.000,rock-classic; nostalgic-hit; vocal-magic; emotional-depth; cultural-moment; warm-analog; steady; head-nodder; short-intro; crowd-pleaser; key-adaptable; anchor-track
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Those Years Ago_(Instrumental).flac,all those years ago,1.000,rock-classic; nostalgic-hit; vocal-magic; emotional-depth; cultural-moment; warm-analog; steady; head-nodder; short-intro; crowd-pleaser; key-adaptable; anchor-track
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Under One Roof Raving_(Vocals).flac,all under one roof raving,1.000,electronic-experimental; nostalgic-hit; rhythmic-hypnosis; spoken-word; retro-modern; hypnotic-builder; warm-up; layer-friendly; warm-analog; millennial-comfort; experimental; flowing; head-nodder; bridge-element; long-intro
/Volumes/T7 Shield/3000AD/alldj_stem_separated/AllttA (Instrumental)_(Vocals).flac,alltta (instrumental),1.000,electronic-dance; instrumental; rhythmic-foundation; sophisticated-groove; punchy-dynamics; body-mover; instant-impact; breakdown-rich; loop-gold; key-adaptable; crowd-pleaser; warm-up
/Volumes/T7 Shield/3000AD/alldj_stem_separated/All Under One Roof Raving_(Instrumental).flac,all under one roof raving,1.000,electronic-experimental; nostalgic-hit; rhythmic-hypnosis; spoken-word; retro-modern; hypnotic-builder; warm-up; layer-friendly; warm-analog; millennial-comfort; experimental; flowing; head-nodder; bridge-element; long-intro
/Volumes/T7 Shield/3000AD/alldj_stem_separated/AllttA (Instrumental)_(Instrumental).flac,alltta (instrumental),1.000,electronic-dance; instrumental; rhythmic-foundation; sophisticated-groove; punchy-dynamics; body-mover; instant-impact; breakdown-rich; loop-gold; key-adaptable; crowd-pleaser; warm-up
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Alone Again (Naturally)_(Vocals).flac,alone again (naturally),1.000,nostalgic-hit; emotional-depth; vocal-magic; palate-cleanser; vocal-prominent; timeless-classic; cool-down; comedown; warm-analog; pop-sophisticated; non-danceable-standalone; fade-outro; sing-along-potential; lush
